Joey1	>TcMar-Tc1:Joey1
Ko.L1.28	>L1:Ko.L1.28
Ko.L1.29	>L1:Ko.L1.29
Ko.L1.3	>L1:Ko.L1.3
Ko.L1.30	>L1:Ko.L1.30
Ko.L1.31	>L1:Ko.L1.31
Ko.L1.32	>L1:Ko.L1.32
Ko.L1.33	>L1:Ko.L1.33
Ko.L1.34	>L1:Ko.L1.34
Ko.L1.35	>L1:Ko.L1.35
Ko.L1.36	>L1:Ko.L1.36
Ko.L1.37	>L1:Ko.L1.37
Ko.L1.38	>L1:Ko.L1.38
Ko.L1.39	>L1:Ko.L1.39
Ko.L1.4	>L1:Ko.L1.4
Ko.L1.40	>L1:Ko.L1.40
Ko.L1.41	>L1:Ko.L1.41
Ko.L1.42	>L1:Ko.L1.42
Ko.L1.43	>L1:Ko.L1.43
Ko.L1.45	>L1:Ko.L1.45
Ko.L1.46	>L1:Ko.L1.46
Ko.L1.47	>L1:Ko.L1.47
Ko.L1.48	>L1:Ko.L1.48
Ko.L1.49	>L1:Ko.L1.49
Ko.L1.5	>L1:Ko.L1.5
Ko.L1.50	>L1:Ko.L1.50
Ko.L1.51	>L1:Ko.L1.51
Ko.L1.52	>L1:Ko.L1.52
Ko.L1.53	>L1:Ko.L1.53
Ko.L1.54	>L1:Ko.L1.54
Ko.L1.55	>L1:Ko.L1.55
Ko.L1.56	>L1:Ko.L1.56
Ko.L1.57	>L1:Ko.L1.57
Ko.L1.58	>L1:Ko.L1.58
Ko.L1.59	>L1:Ko.L1.59
Ko.L1.6	>L1:Ko.L1.6
Ko.L1.60	>L1:Ko.L1.60
Ko.L1.61	>L1:Ko.L1.61
Ko.L1.62	>L1:Ko.L1.62
Ko.L1.63	>L1:Ko.L1.63
Ko.L1.64	>L1:Ko.L1.64
Ko.L1.65	>L1:Ko.L1.65
Ko.L1.66	>L1:Ko.L1.66
Ko.L1.67	>L1:Ko.L1.67
Ko.L1.68	>L1:Ko.L1.68
Ko.L1.69	>L1:Ko.L1.69
Ko.L1.7	>L1:Ko.L1.7
Ko.L1.70	>L1:Ko.L1.70
Ko.L1.71	>L1:Ko.L1.71
Ko.L1.72	>L1:Ko.L1.72
Ko.L1.73	>L1:Ko.L1.73
Ko.L1.74	>L1:Ko.L1.74
Ko.L1.75	>L1:Ko.L1.75
Ko.L1.76	>L1:Ko.L1.76
Ko.L1.77	>L1:Ko.L1.77
Ko.L1.78	>L1:Ko.L1.78
Ko.L1.79	>L1:Ko.L1.79
Ko.L1.8	>L1:Ko.L1.8
Ko.L1.80	>L1:Ko.L1.80
Ko.L1.81	>L1:Ko.L1.81
Ko.L1.82	>L1:Ko.L1.82
Ko.L1.83	>L1:Ko.L1.83
Ko.L1.84	>L1:Ko.L1.84
Ko.L1.85	>L1:Ko.L1.85
Ko.L1.86	>L1:Ko.L1.86
Ko.L1.87	>L1:Ko.L1.87
Ko.L1.88	>L1:Ko.L1.88
Ko.L1.89	>L1:Ko.L1.89
Ko.L1.9	>L1:Ko.L1.9
Ko.L1.90	>L1:Ko.L1.90
Ko.L1.91	>L1:Ko.L1.91
Ko.L1.92	>L1:Ko.L1.92
Ko.L1.93	>L1:Ko.L1.93
Ko.L1.94	>L1:Ko.L1.94
Ko.L1.95	>L1:Ko.L1.95
Ko.L1.96	>L1:Ko.L1.96
Ko.L1.97	>L1:Ko.L1.97
Ko.L1.98	>L1:Ko.L1.98
Ko.L1.99	>L1:Ko.L1.99
Ko.L2.1	>L2:Ko.L2.1
Ko.L2.10	>L2:Ko.L2.10
Ko.L2.11	>L2:Ko.L2.11
Ko.L2.12	>L2:Ko.L2.12
Ko.L2.13	>L2:Ko.L2.13
Ko.L2.14	>L2:Ko.L2.14
Ko.L2.15	>L2:Ko.L2.15
Ko.L2.16	>L2:Ko.L2.16
Ko.L2.17	>L2:Ko.L2.17
Ko.L2.18	>L2:Ko.L2.18
Ko.L2.19	>L2:Ko.L2.19
Ko.L2.2	>L2:Ko.L2.2
Ko.L2.20	>L2:Ko.L2.20
Ko.L2.21	>L2:Ko.L2.21
Ko.L2.22	>L2:Ko.L2.22
Ko.L2.23	>L2:Ko.L2.23
Ko.L2.24	>L2:Ko.L2.24
Ko.L2.25	>L2:Ko.L2.25
Ko.L2.26	>L2:Ko.L2.26
Ko.L2.27	>L2:Ko.L2.27
Ko.L2.28	>L2:Ko.L2.28
Ko.L2.29	>L2:Ko.L2.29
Ko.L2.3	>L2:Ko.L2.3
Ko.L2.30	>L2:Ko.L2.30
Ko.L2.31	>L2:Ko.L2.31
Ko.L2.32	>L2:Ko.L2.32
Ko.L2.33	>L2:Ko.L2.33
Ko.L2.34	>L2:Ko.L2.34
Ko.L2.35	>L2:Ko.L2.35
Ko.L2.36	>L2:Ko.L2.36
Ko.L2.37	>L2:Ko.L2.37
Ko.L2.38	>L2:Ko.L2.38
Ko.L2.39	>L2:Ko.L2.39
Ko.L2.4	>L2:Ko.L2.4
Ko.L2.40	>L2:Ko.L2.40
Ko.L2.41	>L2:Ko.L2.41
Ko.L2.42	>L2:Ko.L2.42
Ko.L2.43	>L2:Ko.L2.43
Ko.L2.44	>L2:Ko.L2.44
Ko.L2.45	>L2:Ko.L2.45
Ko.L2.46	>L2:Ko.L2.46
Ko.L2.47	>L2:Ko.L2.47
Ko.L2.48	>L2:Ko.L2.48
Ko.L2.49	>L2:Ko.L2.49
Ko.L2.5	>L2:Ko.L2.5
Ko.L2.50	>L2:Ko.L2.50
Ko.L2.51	>L2:Ko.L2.51
Ko.L2.52	>L2:Ko.L2.52
Ko.L2.53	>L2:Ko.L2.53
Ko.L2.54	>L2:Ko.L2.54
Ko.L2.55	>L2:Ko.L2.55
